"domain","site","grid","lat","lon","elev","nlcd"
"D10_Central Plains","CPER","CPER_008",40.798781,-104.747491,1644,"grasslandHerbaceous"
"D10_Central Plains","CPER","CPER_009",40.82539,-104.747338,1647.5,"grasslandHerbaceous"
"D10_Central Plains","CPER","CPER_011",40.86758,-104.703635,1647.1,"grasslandHerbaceous"
"D10_Central Plains","CPER","CPER_015",40.853174,-104.74301,1662.3,"grasslandHerbaceous"
"D10_Central Plains","RMNP","RMNP_003",40.201684,-105.481869,2644.2,"evergreenForest"
"D10_Central Plains","RMNP","RMNP_004",40.188167,-105.540719,2768.6,"evergreenForest"
"D10_Central Plains","RMNP","RMNP_005",40.169149,-105.527141,2744.2,"evergreenForest"
"D10_Central Plains","RMNP","RMNP_009",40.204106,-105.479761,2689.6,"evergreenForest"
"D10_Central Plains","RMNP","RMNP_013",40.197704,-105.485241,2632,"evergreenForest"
"D10_Central Plains","RMNP","RMNP_014",40.162417,-105.533161,2783.9,"evergreenForest"
"D10_Central Plains","STER","STER_006",40.462418,-103.035457,1360.9,"cultivatedCrops"
"D10_Central Plains","STER","STER_026",40.473551,-103.025194,1364.6,"cultivatedCrops"
"D10_Central Plains","STER","STER_027",40.480573,-103.021063,1368.4,"cultivatedCrops"
"D10_Central Plains","STER","STER_028",40.473576,-103.020055,1359.8,"cultivatedCrops"
"D10_Central Plains","STER","STER_029",40.468354,-103.013501,1357.9,"cultivatedCrops"
"D10_Central Plains","STER","STER_031",40.470356,-103.013883,1358.1,"cultivatedCrops"
"D11_Southern Plains","CLBJ","CLBJ_033",33.379549,-97.620436,312.2,"deciduousForest"
"D11_Southern Plains","CLBJ","CLBJ_034",33.322513,-97.578066,325,"grasslandHerbaceous"
"D11_Southern Plains","CLBJ","CLBJ_037",33.320829,-97.583125,328,"grasslandHerbaceous"
"D11_Southern Plains","CLBJ","CLBJ_039",33.328603,-97.582408,315.1,"grasslandHerbaceous"
"D11_Southern Plains","CLBJ","CLBJ_040",33.378889,-97.64828,324.5,"deciduousForest"
"D11_Southern Plains","CLBJ","CLBJ_041",33.412252,-97.662234,302.3,"grasslandHerbaceous"
"D11_Southern Plains","CLBJ","CLBJ_042",33.371728,-97.596108,304,"deciduousForest"
"D11_Southern Plains","CLBJ","CLBJ_057",33.374409,-97.642297,322.1,"deciduousForest"
"D11_Southern Plains","OAES","OAES_001",35.413861,-99.058786,517.8,"grasslandHerbaceous"
"D11_Southern Plains","OAES","OAES_002",35.419111,-99.05085,516.9,"grasslandHerbaceous"
"D11_Southern Plains","OAES","OAES_003",35.411667,-99.071306,506.6,"grasslandHerbaceous"
"D11_Southern Plains","OAES","OAES_004",35.413166,-99.084368,507.6,"grasslandHerbaceous"
"D11_Southern Plains","OAES","OAES_007",35.41942,-99.055808,522.6,"shrubScrub"
"D11_Southern Plains","OAES","OAES_010",35.398093,-99.059661,500.6,"grasslandHerbaceous"
"D11_Southern Plains","OAES","OAES_029",35.416811,-99.050808,517.3,"shrubScrub"
"D11_Southern Plains","OAES","OAES_030",35.40875,-99.071305,507.1,"shrubScrub"
"D12_Northern Rockies","YELL","YELL_001",44.918169,-110.408714,1904.1,"shrubScrub"
"D12_Northern Rockies","YELL","YELL_011",44.957982,-110.589389,2022.1,"shrubScrub"
"D12_Northern Rockies","YELL","YELL_020",44.943811,-110.646584,2104.1,"evergreenForest"
"D12_Northern Rockies","YELL","YELL_023",44.938201,-110.630976,2062.4,"evergreenForest"
"D12_Northern Rockies","YELL","YELL_031",44.95647,-110.510295,2136.2,"shrubScrub"
"D12_Northern Rockies","YELL","YELL_032",44.951333,-110.449548,1964.2,"shrubScrub"
"D12_Northern Rockies","YELL","YELL_072",44.953028,-110.501272,2136.8,"shrubScrub"
"D13_Southern Rockies","MOAB","MOAB_002",38.209249,-109.41456,1774,"shrubScrub"
"D13_Southern Rockies","MOAB","MOAB_003",38.259956,-109.348988,2004.2,"evergreenForest"
"D13_Southern Rockies","MOAB","MOAB_004",38.232941,-109.398912,1760,"shrubScrub"
"D13_Southern Rockies","MOAB","MOAB_006",38.236238,-109.404418,1761.2,"shrubScrub"
"D13_Southern Rockies","MOAB","MOAB_007",38.266703,-109.339949,1989.6,"shrubScrub"
"D13_Southern Rockies","MOAB","MOAB_008",38.23088,-109.387247,1761.4,"shrubScrub"
"D13_Southern Rockies","MOAB","MOAB_009",38.259554,-109.423615,1797,"shrubScrub"
"D13_Southern Rockies","MOAB","MOAB_025",38.268912,-109.349213,2028.7,"evergreenForest"
"D13_Southern Rockies","NIWO","NIWO_001",40.041034,-105.560474,3206.4,"evergreenForest"
"D13_Southern Rockies","NIWO","NIWO_002",40.03929,-105.547048,3037.8,"evergreenForest"
"D13_Southern Rockies","NIWO","NIWO_005",40.042414,-105.569904,3254.3,"evergreenForest"
"D13_Southern Rockies","NIWO","NIWO_007",40.037963,-105.563834,3182.2,"evergreenForest"
"D13_Southern Rockies","NIWO","NIWO_023",40.055385,-105.569346,3487.4,"grasslandHerbaceous"
"D13_Southern Rockies","NIWO","NIWO_025",40.054343,-105.572751,3483.1,"grasslandHerbaceous"
"D14_Desert Southwest","JORN","JORN_001",32.605706,-106.803361,1324.8,"shrubScrub"
"D14_Desert Southwest","JORN","JORN_007",32.608598,-106.858163,1324.7,"shrubScrub"
"D14_Desert Southwest","JORN","JORN_011",32.606853,-106.795376,1324.9,"shrubScrub"
"D14_Desert Southwest","JORN","JORN_017",32.607847,-106.848717,1317.3,"shrubScrub"
"D14_Desert Southwest","JORN","JORN_018",32.619955,-106.84616,1323.5,"shrubScrub"
"D14_Desert Southwest","JORN","JORN_031",32.60541,-106.827426,1330.9,"shrubScrub"
"D14_Desert Southwest","SRER","SRER_002",31.869165,-110.857931,1029.1,"shrubScrub"
"D14_Desert Southwest","SRER","SRER_005",31.829213,-110.825508,1243.7,"shrubScrub"
"D14_Desert Southwest","SRER","SRER_007",31.898586,-110.876603,933.6,"shrubScrub"
"D14_Desert Southwest","SRER","SRER_008",31.86625,-110.813698,1183.9,"shrubScrub"
"D14_Desert Southwest","SRER","SRER_009",31.844532,-110.836396,1142.3,"shrubScrub"
